Customer id,Acquisition Date,Acquisition Channel,Acquisition Device,,,,,,,,,,,,,,,,,,
1103453,12/8/12,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
38702,12/7/12,,Desktop,,,,,,,,,,,,,,,,,,
1015036,12/2/12,,,,,,,,,,,,,,,,,,,,
926745,12/2/12,,,,,,,,,,,,,,,,,,,,
76562,11/30/12,Search - Paid,,,,,,,,,,,,,,,,,,,
257274,11/27/12,Search - Paid,,,,,,,,,,,,,,,,,,,
82448,11/27/12,,,,,,,,,,,,,,,,,,,,
919987,11/25/12,Search - Paid,,,,,,,,,,,,,,,,,,,
791837,11/23/12,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
548243,11/21/12,,,,,,,,,,,,,,,,,,,,
1163322,11/17/12,Social - Paid,Phone,,,,,,,,,,,,,,,,,,
494025,11/15/12,Search - Paid,,,,,,,,,,,,,,,,,,,
496726,11/10/12,,,,,,,,,,,,,,,,,,,,
114415,11/8/12,Search - Paid,,,,,,,,,,,,,,,,,,,
309887,11/7/12,Search - Organic,Desktop,,,,,,,,,,,,,,,,,,
266733,11/7/12,Search - Organic,Desktop,,,,,,,,,,,,,,,,,,
450751,11/3/12,Social - Paid,Desktop,,,,,,,,,,,,,,,,,,
999230,11/1/12,,,,,,,,,,,,,,,,,,,,
784474,11/1/12,,Desktop,,,,,,,,,,,,,,,,,,
103459,11/1/12,Search - Paid,,,,,,,,,,,,,,,,,,,
1150492,10/21/12,Search - Paid,,,,,,,,,,,,,,,,,,,
929585,10/19/12,Search - Paid,,,,,,,,,,,,,,,,,,,
149066,10/19/12,,Desktop,,,,,,,,,,,,,,,,,,
839671,10/16/12,Search - Paid,,,,,,,,,,,,,,,,,,,
614517,10/16/12,Search - Paid,Phone,,,,,,,,,,,,,,,,,,
46006,10/13/12,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
369143,10/7/12,Search - Paid,,,,,,,,,,,,,,,,,,,
494798,10/5/12,Search - Organic,,,,,,,,,,,,,,,,,,,
565102,10/1/12,Social - Paid,Phone,,,,,,,,,,,,,,,,,,
355943,9/30/12,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
997423,9/24/12,,,,,,,,,,,,,,,,,,,,
59242,9/24/12,Search - Paid,,,,,,,,,,,,,,,,,,,
564089,9/19/12,Search - Paid,,,,,,,,,,,,,,,,,,,
928427,9/18/12,Search - Organic,,,,,,,,,,,,,,,,,,,
683182,9/17/12,Search - Organic,,,,,,,,,,,,,,,,,,,
29219,9/17/12,Other,,,,,,,,,,,,,,,,,,,
429789,9/16/12,Search - Paid,,,,,,,,,,,,,,,,,,,
